Team|Saves Made|Blocks|Total Clearances|Interceptions|Recoveries|Goals Conceded|savesbygoal
Belgium|27|30|118|52|391|6|4,5
Mexico|25|22|69|47|212|6|4,166666667
Croatia|19|19|191|72|475|9|2,111111111
Denmark|17|14|110|35|214|2|8,5
England|16|22|125|56|386|8|2
Tunisia|15|8|36|31|167|8|1,875
France|15|12|183|72|396|6|2,5
Japan|14|18|105|36|217|7|2
Russia|14|21|144|70|305|7|2
Korea Republic|12|16|88|39|156|3|4
Switzerland|12|13|55|43|210|5|2,4
Egypt|11|10|72|54|190|6|1,833333333
Colombia|11|12|103|36|251|3|3,666666667
Sweden|11|35|159|52|232|4|2,75
Australia|10|2|71|24|174|5|2
Germany|10|5|32|24|167|4|2,5
Costa Rica|10|8|75|38|183|5|2
Serbia|10|15|59|22|175|4|2,5
Uruguay|10|13|87|79|279|3|3,333333333
Portugal|9|5|64|27|221|6|1,5
Panama|8|5|68|33|142|11|0,727272727
Iran|8|16|80|44|151|2|4
Iceland|8|19|71|47|152|5|1,6
Peru|7|9|65|28|173|2|3,5
Nigeria|6|5|70|42|173|4|1,5
Morocco|5|7|48|24|171|4|1,25
Senegal|5|3|50|33|173|4|1,25
Argentina|5|6|74|31|196|9|0,555555556
Brazil|5|14|81|60|282|3|1,666666667
Saudi Arabia|4|8|50|24|183|7|0,571428571
Poland|4|9|60|34|174|5|0,8
Spain|1|5|44|30|188|6|0,166666667
