Team|Matches|Total Goals|Average Goals|Goals Conceded|Average Conceded|Goal Difference
Belgium|7|16|229|6|86|10
France|7|14|200|6|86|8
Croatia|7|14|200|9|129|5
England|7|12|171|8|114|4
Russia|5|11|220|7|140|4
Brazil|5|8|160|3|60|5
Spain|4|7|175|6|150|1
Uruguay|5|7|140|3|60|4
Portugal|4|6|150|6|150|0
Argentina|4|6|150|9|225|-3
Colombia|4|6|150|3|75|3
Japan|4|6|150|7|175|-1
Sweden|5|6|120|4|80|2
Tunisia|3|5|167|8|267|-3
Switzerland|4|5|125|5|125|0
Senegal|3|4|133|4|133|0
Nigeria|3|3|100|4|133|-1
Denmark|4|3|75|2|50|1
Korea Republic|3|3|100|3|100|0
Mexico|4|3|75|6|150|-3
Australia|3|2|67|5|167|-3
Germany|3|2|67|4|133|-2
Panama|3|2|67|11|367|-9
Morocco|3|2|67|4|133|-2
Saudi Arabia|3|2|67|7|233|-5
Costa Rica|3|2|67|5|167|-3
Poland|3|2|67|5|167|-3
Peru|3|2|67|2|67|0
Egypt|3|2|67|6|200|-4
Serbia|3|2|67|4|133|-2
Iran|3|2|67|2|67|0
Iceland|3|2|67|5|167|-3
