,userid,version,retention_1,retention_7,sum_gamerounds
0,116,gate_25,False,False,7
1,337,gate_25,True,False,39
2,377,gate_50,True,False,168
3,483,gate_50,False,False,6
4,488,gate_50,True,True,200
5,540,gate_50,True,True,198
6,1066,gate_25,False,False,8
7,1444,gate_50,False,False,8
8,1574,gate_50,True,True,119
9,1587,gate_50,True,False,158
10,1842,gate_50,False,True,4
11,2101,gate_25,False,False,4
12,2132,gate_50,True,False,31
13,2179,gate_25,True,False,41
14,2218,gate_25,True,True,311
15,2382,gate_25,True,False,86
16,2392,gate_25,True,False,18
17,2451,gate_25,True,True,223
18,2482,gate_25,True,True,114
19,2502,gate_50,False,False,9
20,2530,gate_50,True,False,25
21,2534,gate_25,True,False,8
22,2695,gate_50,True,False,54
23,2729,gate_25,False,True,106
24,2829,gate_25,False,False,15
25,2963,gate_25,False,False,6
26,3095,gate_25,False,False,2
27,3132,gate_50,True,True,87
28,3186,gate_50,False,False,5
29,3199,gate_25,False,False,15
30,3204,gate_50,True,True,57
31,3413,gate_25,True,False,52
32,3690,gate_25,True,False,14
33,3696,gate_25,False,False,51
34,3993,gate_50,True,True,209
35,4076,gate_50,False,False,10
36,4162,gate_25,False,False,24
37,4176,gate_25,False,False,3
38,4283,gate_25,False,False,117
39,4594,gate_25,False,False,41
40,4653,gate_50,False,False,17
41,4881,gate_25,False,False,3
42,4902,gate_50,False,False,11
43,4916,gate_50,True,False,56
44,4918,gate_25,False,False,10
45,4929,gate_25,True,True,402
46,4945,gate_50,True,False,34
47,5066,gate_25,False,False,3
48,5215,gate_25,True,False,33
49,5286,gate_25,True,False,25
50,5345,gate_50,False,False,16
51,5479,gate_25,True,False,31
52,5550,gate_25,True,False,32
53,5661,gate_25,True,False,146
54,5712,gate_25,True,True,107
55,5920,gate_50,True,False,11
56,5943,gate_50,False,False,81
57,6099,gate_50,False,False,145
58,6123,gate_25,False,False,3
59,6151,gate_25,True,True,103
60,6156,gate_50,False,False,7
61,6492,gate_25,False,False,17
62,6664,gate_50,True,False,42
63,6695,gate_50,True,False,127
64,6833,gate_50,False,False,9
65,6842,gate_50,False,False,8
66,6924,gate_25,False,False,39
67,6930,gate_50,True,True,301
68,7124,gate_50,True,True,133
69,7253,gate_25,True,False,48
70,7321,gate_50,False,False,47
71,7509,gate_50,False,False,8
72,7527,gate_25,False,False,91
73,7564,gate_25,False,False,42
74,7582,gate_50,False,False,5
